year;title;studios;producers;winner;Interval
1994;On Deadly Ground;Warner Bros.;A. Kitman Ho, Julius R. Nasso and Steven Seagal;;0
2005;Deuce Bigalow: European Gigolo;Columbia Pictures;Adam Sandler and Rob Schneider;;0
2007;I Now Pronounce You Chuck & Larry;Universal Studios;Adam Sandler and Tom Shadyac;;0
2015;Pixels;Columbia Pictures;Adam Sandler, Chris Columbus, Mark Radcliffe and Allen Covert;;0
1982;Megaforce;20th Century Fox;Albert S. Ruddy;;0
2017;The Mummy;Universal Pictures;Alex Kurtzman, Chris Morgan, Sean Daniel and Sarah Bradshaw;;0
1992;Christopher Columbus: The Discovery;Warner Bros.;Alexander Salkind and Ilya Salkind;;0
1980;Can't Stop the Music;Associated Film Distribution;Allan Carr;yes;0
2012;That's My Boy;Columbia Pictures;Allen Covert, Jack Giarraputo, Heather Parry and Adam Sandler;;0
1996;Striptease;Columbia Pictures, Castle Rock Entertainment;Andrew Bergman and Mike Lobell;yes;0
2002;Crossroads;Paramount Pictures;Ann Carli;;0
2007;Bratz;Lionsgate;Avi Arad, Isaac Larian and Steven Paul;;0
2019;Rambo: Last Blood;Lionsgate;Avi Lerner, Kevin King Templeton, Yariv Lerner, and Les Weldon;;0
2011;Bucky Larson: Born to Be a Star;Columbia Pictures;Barry Bernardi, Allen Covert, David Dorfman and Jack Giarraputo;;0
2008;The Happening;20th Century Fox;Barry Mendel, Sam Mercer and M. Night Shyamalan;;0
2016;Gods of Egypt;Summit Entertainment;Basil Iwanyk and Alex Proyas;;0
2018;The Happytime Murders;STX;Ben Falcone, Jeffrey Hayes, Brian Henson and Melissa McCarthy;;0
1998;An Alan Smithee Film: Burn Hollywood Burn;Hollywood Pictures;Ben Myron and Joe Eszterhas;yes;0
2004;Surviving Christmas;DreamWorks;Betty Thomas and Jenno Topping;;0
2016;Dirty Grandpa;Lionsgate;Bill Block, Michael Simkin, Jason Barrett and Barry Josephson;;0
2000;Book of Shadows: Blair Witch 2;Artisan Entertainment;Bill Carraro;;0
1987;Leonard Part 6;Columbia Pictures;Bill Cosby;yes;0
2005;The Dukes of Hazzard;Warner Bros., Village Roadshow;Bill Gerber;;0
1984;Bolero;Cannon Films;Bo Derek;yes;0
2014;The Legend of Hercules;Summit Entertainment;Boaz Davidson, Renny Harlin, Danny Lerner and Les Weldon;;0
1986;Under the Cherry Moon;Warner Bros.;Bob Cavallo, Joe Ruffalo and Steve Fargnoli;yes;0
1990;The Bonfire of the Vanities;Warner Bros.;Brian De Palma;;0
2003;The Cat in the Hat;Universal Studios, DreamWorks;Brian Grazer;;0
2000;The Flintstones in Viva Rock Vegas;Universal Studios;Bruce Cohen;;0
1985;Rambo: First Blood Part II;Columbia Pictures;Buzz Feitshans;yes;0
1994;Color of Night;Hollywood Pictures;Buzz Feitshans and David Matalon;yes;0
1992;Shining Through;20th Century Fox;Carol Baum and Howard Rosenman;yes;0
1991;Cool as Ice;Universal Studios;Carolyn Pfeiffer and Lionel Wingram;;0
1995;It's Pat;Touchstone Pictures;Charles B. Wessler;;0
1995;Showgirls;MGM, United Artists;Charles Evans and Alan Marshall;yes;0
1989;Lock Up;TriStar Pictures, Carolco Pictures;Charles Gordon and Lawrence Gordon;;0
2016;Batman v Superman: Dawn of Justice;Warner Bros.;Charles Roven and Deborah Snyder;;0
2019;The Fanatic;Quiver Distribution;Daniel Grodnik, Oscar Generale, and Bill Kenwright;;0
2014;Saving Christmas;Samuel Goldwyn Films;Darren Doane, Raphi Henley, Amanda Rosser and David Shannon;yes;0
2007;I Know Who Killed Me;TriStar Pictures;David Grace and Frank Mancuso Jr.;;0
1982;The Pirate Movie;20th Century Fox;David Joseph;;0
2016;Independence Day: Resurgence;20th Century Fox;Dean Devlin, Harald Kloser and Roland Emmerich;;0
2019;Cats;Universal Pictures;Debra Hayward, Tim Bevan, Eric Fellner, and Tom Hooper;yes;0
2001;3000 Miles to Graceland;Warner Bros., Franchise Pictures;Demian Lichtenstein, Eric Manes, Elie Samaha, Richard Spero and Andrew Stevens;;0
2004;Catwoman;Warner Bros.;Denise Di Novi and Edward McDonnell;yes;0
1985;Year of the Dragon;MGM, United Artists;Dino De Laurentiis;;0
2017;Transformers: The Last Knight;Paramount Pictures;Don Murphy, Tom DeSanto, Lorenzo di Bonaventura and Ian Bryce;;0
2003;Charlie's Angels: Full Throttle;Columbia Pictures;Drew Barrymore, Leonard Goldberg and Nancy Juvonen;;0
1981;Endless Love;Universal Studios, PolyGram;Dyson Lovell;;0
1996;The Island of Dr. Moreau;New Line Cinema;Edward R. Pressman;;0
2005;Son of the Mask;New Line Cinema;Erica Huggins and Scott Kroopf;;0
2010;The Last Airbender;Paramount Pictures, Nickelodeon Movies;Frank Marshall, Kathleen Kennedy, Sam Mercer and M. Night Shyamalan;yes;0
1981;Mommie Dearest;Paramount Pictures;Frank Yablans;yes;0
1985;Fever Pitch;MGM, United Artists;Freddie Fields;;0
2008;The Love Guru;Paramount Pictures;Gary Barber, Michael DeLuca and Mike Myers;yes;0
2012;The Oogieloves in the Big Balloon Adventure;Lionsgate Films, Romar Entertainment, Kenn Viselman Presents;Gayle Dickie, Kenn Viselman;;0
2016;Hillary's America: The Secret History of the Democratic Party;Quality Flix;Gerald R. Molen;yes;0
